"","X","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type","Crime Category"
"50",281,-78.486363,38.064994,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Larceny - Shoplifitng","Theft"
"51",282,-78.486363,38.064994,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Larceny - Shoplifitng","Theft"
"52",283,-78.482695,38.030748,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Lost/FoundProperty","Non-criminal report"
"53",284,-78.484062,38.02649,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Assault Simple","Threat and/or Assault"
"54",285,-78.475702,38.052489,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Drug/Narcotics Violation","Substance Abuse"
"55",286,-78.460746,38.025787,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Suspicious Activity","Disorderly Conduct"
"56",287,-78.503703,38.014946,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Assist Agency - Backup/Assist","Non-criminal report"
"57",288,-78.481638,38.027754,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Domestic Disturbance","Disorderly Conduct"
"58",289,-78.481638,38.027754,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Larceny - From Motor Vehicle","Theft"
"59",290,-78.478076,38.022563,"2020-02-26","Basketball","Virginia Tech",TRUE,TRUE,"Larceny - From Motor Vehicle","Theft"
"60",334,-78.485528,38.029765,"2020-02-22","Basketball","Pitt",TRUE,TRUE,"Assault Simple","Threat and/or Assault"
"61",335,-78.502401,38.036242,"2020-02-22","Basketball","Pitt",TRUE,TRUE,"Vandalism","Disorderly Conduct"
"62",336,-78.513221,38.018706,"2020-02-22","Basketball","Pitt",TRUE,TRUE,"Assault Simple","Threat and/or Assault"
"63",337,-78.485528,38.029765,"2020-02-22","Basketball","Pitt",TRUE,TRUE,"Assist Citizen - Mental/TDO/ECO","Non-criminal report"
"64",338,-78.486581,38.030473,"2020-02-22","Basketball","Pitt",TRUE,TRUE,"Assist Citizen - Mental/TDO/ECO","Non-criminal report"
"65",339,-78.48045,38.026588,"2020-02-22","Basketball","Pitt",TRUE,TRUE,"Larceny - From Motor Vehicle","Theft"
"66",340,-78.462871,38.038224,"2020-02-22","Basketball","Pitt",TRUE,TRUE,"Fraud-false pretense","Fraud"
"67",341,-78.485528,38.029765,"2020-02-22","Basketball","Pitt",TRUE,TRUE,"Extortion/Blackmail","Threat and/or Assault"
"68",342,-78.481848,38.030482,"2020-02-22","Basketball","Pitt",TRUE,TRUE,"Assault Simple","Threat and/or Assault"
"69",343,-78.497323,38.035783,"2020-02-22","Basketball","Pitt",TRUE,TRUE,"Drunkeness DIP","Substance Abuse"
"70",365,-78.514475,38.02842,"2020-02-19","Basketball","Boston College",FALSE,TRUE,"Larceny - All Other","Theft"
"71",366,-78.490814,38.031848,"2020-02-19","Basketball","Boston College",FALSE,TRUE,"Sex Offense - Forcible Rape","Sex Offense"
"72",367,-78.475337,38.03394,"2020-02-19","Basketball","Boston College",FALSE,TRUE,"Runaway","Other"
"73",368,-78.505016,38.030818,"2020-02-19","Basketball","Boston College",FALSE,TRUE,"Assault Simple","Threat and/or Assault"
"74",369,-78.455313,38.02387,"2020-02-19","Basketball","Boston College",FALSE,TRUE,"Larceny - Of Veh Parts/Access","Theft"
"75",370,-78.50005,38.014495,"2020-02-19","Basketball","Boston College",FALSE,TRUE,"Larceny - Of Veh Parts/Access","Theft"
"76",371,-78.472854,38.024483,"2020-02-19","Basketball","Boston College",FALSE,TRUE,"Larceny - From Motor Vehicle","Theft"
"77",372,-78.512573,38.020411,"2020-02-19","Basketball","Boston College",FALSE,TRUE,"Vandalism","Disorderly Conduct"
"78",373,-78.490814,38.031848,"2020-02-19","Basketball","Boston College",FALSE,TRUE,"Animal - Bite","Animal-related"
"79",405,-78.485672,38.022908,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Narcotics","Substance Abuse"
"80",406,-78.491258,38.022211,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Assault Simple","Threat and/or Assault"
"81",407,-78.491258,38.022211,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Lost/FoundProperty","Non-criminal report"
"82",408,-78.473137,38.023547,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Assist Citizen - Mental/TDO/ECO","Non-criminal report"
"83",409,-78.491948,38.022987,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Assist Citizen - Mental/TDO/ECO","Non-criminal report"
"84",410,-78.496417,38.042215,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Shots Fired/Illegal Hunting","Disorderly Conduct"
"85",411,-78.490814,38.031848,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Hit and Run","Vehicle Accident"
"86",412,-78.5015,38.055196,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Death Investigation - DOA","Other"
"87",413,-78.50005,38.014495,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Accident w/Injuries","Vehicle Accident"
"88",414,-78.492224,38.060855,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Larceny - From Motor Vehicle","Theft"
"89",415,-78.478432,38.029691,"2020-02-15","Basketball","UNC",TRUE,TRUE,"Vandalism","Disorderly Conduct"
"90",472,-78.493817,38.035177,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Shots Fired/Illegal Hunting","Disorderly Conduct"
"91",473,-78.482695,38.030748,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Suspicious Activity","Disorderly Conduct"
"92",474,-78.507397,38.03177,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Accident w/Injuries","Vehicle Accident"
"93",475,-78.494399,38.024646,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Traffic Stops","Other"
"94",476,-78.48225,38.065057,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Assist Citizen - Mental/TDO/ECO","Non-criminal report"
"95",477,-78.500062,38.034497,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Hit and Run","Vehicle Accident"
