RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
8623,12,2018-04-12T00:00:00.000Z,KEITH VALLEY RD ,36807,Unsexed - 3 Year         ,2015,1600
8624,12,2015-08-08T00:00:00.000Z,TUNLAW PL ,36808,Unsexed - 3 Year         ,2015,8100
8625,12,2015-06-22T00:00:00.000Z,SHAMROCK RD ,36809,Unsexed - 3 Year         ,2015,2100
8626,12,2019-01-09T00:00:00.000Z,RIDGE ST ,36811,Unsexed - 3 Year         ,2015,1000
8627,12,2015-09-11T00:00:00.000Z,WESTVIEW RD ,36812,Unsexed - 3 Year         ,2015,1800
8628,12,2021-09-26T00:00:00.000Z,1ST ST N ,36813,Unsexed - 3 Year         ,2015,400
8629,12,2022-03-11T00:00:00.000Z,GREENBRIER DR ,36814,Unsexed - 3 Year         ,2015,2200
8630,12,2021-06-19T00:00:00.000Z,GREENLEAF LN ,36815,Unsexed - 3 Year         ,2015,1500
8631,30,2017-03-25T00:00:00.000Z,HAMPTON ST ,36816,Sexed - 3 Year           ,2015,1400
8632,12,2014-04-04T00:00:00.000Z,GREENBRIER DR ,36817,Unsexed - 3 Year         ,2015,2200
8633,12,2019-04-05T00:00:00.000Z,KERRY LN ,36818,Unsexed - 3 Year         ,2015,2400
8634,12,2018-04-23T00:00:00.000Z,STONEHENGE AVE ,36819,Unsexed - 3 Year         ,2015,900
8635,12,2018-06-17T00:00:00.000Z,CAMERON LN ,36820,Unsexed - 3 Year         ,2015,100
8636,12,2019-12-02T00:00:00.000Z,CAMERON LN ,36821,Unsexed - 3 Year         ,2015,100
8637,12,2016-07-31T00:00:00.000Z,ORANGEDALE AVE ,36822,Unsexed - 3 Year         ,2015,700
8638,12,2016-04-21T00:00:00.000Z,FLORENCE RD ,36823,Unsexed - 3 Year         ,2015,1400
8639,12,2016-04-21T00:00:00.000Z,FLORENCE RD ,36824,Unsexed - 3 Year         ,2015,1400
8640,12,2016-04-21T00:00:00.000Z,MONTICELLO AVE ,36825,Unsexed - 3 Year         ,2015,1200
8641,12,2015-07-26T00:00:00.000Z,BARRACKS RD ,36826,Unsexed - 3 Year         ,2015,2600
8642,12,2015-07-26T00:00:00.000Z,BARRACKS RD ,36827,Unsexed - 3 Year         ,2015,2600
8643,12,2016-03-05T00:00:00.000Z,BURGESS LN ,36828,Unsexed - 3 Year         ,2015,1400
8644,12,2016-02-01T00:00:00.000Z,ANGUS RD ,36829,Unsexed - 3 Year         ,2015,2400
8645,12,2021-01-26T00:00:00.000Z,ELIZABETH AVE ,36830,Unsexed - 3 Year         ,2015,600
8646,4,2018-02-14T00:00:00.000Z,10 1/2 ST NW ,36831,Unsexed - 1 Year         ,2013,3200
8647,4,2013-11-16T00:00:00.000Z,PAGE ST ,36832,Unsexed - 1 Year         ,2013,700
8648,12,2016-05-02T00:00:00.000Z,HOLMES AVE ,36833,Unsexed - 3 Year         ,2015,1200
8649,12,2015-12-05T00:00:00.000Z,GREEN ST ,36834,Unsexed - 3 Year         ,2015,1500
8650,12,2015-09-04T00:00:00.000Z,GREEN ST ,36835,Unsexed - 3 Year         ,2015,1500
8651,12,2015-09-04T00:00:00.000Z,GREEN ST ,36836,Unsexed - 3 Year         ,2015,1500
8652,12,2019-05-27T00:00:00.000Z,MOUNTAIN VIEW ST ,36837,Unsexed - 3 Year         ,2015,1300
8653,12,2019-01-08T00:00:00.000Z,TARLETON DR ,36838,Unsexed - 3 Year         ,2015,2100
8654,12,2019-04-01T00:00:00.000Z,CAMELLIA DR ,36839,Unsexed - 3 Year         ,2015,300
8655,12,2019-04-01T00:00:00.000Z,CAMELLIA DR ,36840,Unsexed - 3 Year         ,2015,300
