G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/10/2017,,UNC Greensboro,W,60,48,18,42,0.429,4,16,0.25,20,24,0.833,7,30,8,8,4,13,17,,15,51,0.294,4,26,0.154,14,18,0.778,13,30,9,5,2,17,20
2,11/13/2017,,Austin Peay,W,93,49,33,52,0.635,8,17,0.471,19,24,0.792,7,29,17,8,5,9,19,,18,44,0.409,3,12,0.25,10,19,0.526,6,19,6,3,0,20,24
3,11/17/2017,@,VCU,W,76,67,31,61,0.508,10,23,0.435,4,5,0.8,5,25,16,8,1,5,15,,26,57,0.456,9,25,0.36,6,9,0.667,9,32,12,4,4,12,13
4,11/19/2017,,Monmouth,W,73,53,26,50,0.52,4,14,0.286,17,21,0.81,6,32,14,9,5,8,18,,16,48,0.333,6,21,0.286,15,23,0.652,8,25,7,2,0,14,18
5,11/23/2017,N,Vanderbilt,W,68,42,27,60,0.45,10,21,0.476,4,6,0.667,5,32,21,3,8,7,17,,12,52,0.231,4,18,0.222,14,19,0.737,7,35,7,4,2,8,13
6,11/24/2017,N,Rhode Island,W,70,55,23,46,0.5,5,12,0.417,19,22,0.864,4,31,9,5,2,11,15,,22,50,0.44,4,10,0.4,7,14,0.5,3,21,11,6,4,9,20
7,11/27/2017,,Wisconsin,W,49,37,23,60,0.383,3,14,0.214,0,0,,12,36,7,6,2,12,14,,15,48,0.313,3,20,0.15,4,7,0.571,8,28,6,5,1,14,10
8,12/2/2017,,Lehigh,W,75,54,30,58,0.517,9,25,0.36,6,11,0.545,7,30,21,11,3,6,7,,19,47,0.404,10,24,0.417,6,7,0.857,3,24,7,1,0,16,15
9,12/5/2017,@,West Virginia,L,61,68,19,46,0.413,9,23,0.391,14,19,0.737,5,23,11,5,4,12,17,,21,50,0.42,10,25,0.4,16,18,0.889,6,30,12,6,3,10,20
10,12/16/2017,,Davidson,W,80,60,28,56,0.5,10,19,0.526,14,19,0.737,6,30,14,7,1,6,14,,24,50,0.48,8,26,0.308,4,7,0.571,4,24,14,3,5,13,18
11,12/19/2017,,Savannah State,W,78,47,29,58,0.5,7,19,0.368,13,18,0.722,9,38,18,7,7,12,12,,16,57,0.281,11,37,0.297,4,5,0.8,6,26,11,8,3,18,18
12,12/22/2017,,Hampton,W,82,48,29,64,0.453,8,19,0.421,16,22,0.727,12,37,14,7,6,8,13,,14,54,0.259,7,16,0.438,13,15,0.867,8,27,4,3,2,14,20
13,12/30/2017,,Boston College,W,59,58,23,58,0.397,9,23,0.391,4,6,0.667,10,33,10,7,6,9,12,,22,52,0.423,7,22,0.318,7,7,1,3,30,4,2,3,13,11
14,1/3/2018,@,Virginia Tech,W,78,52,30,61,0.492,12,25,0.48,6,9,0.667,4,31,18,9,4,6,18,,17,47,0.362,2,12,0.167,16,23,0.696,5,29,6,2,2,16,10
15,1/6/2018,,UNC,W,61,49,24,53,0.453,8,22,0.364,5,9,0.556,9,26,16,7,6,11,11,,16,54,0.296,8,23,0.348,9,11,0.818,18,41,7,6,1,17,12
16,1/9/2018,,Syracuse,W,68,61,20,53,0.377,9,27,0.333,19,22,0.864,10,28,15,7,5,7,13,,23,60,0.383,6,21,0.286,9,11,0.818,17,37,3,6,5,11,17
17,1/14/2018,,NC State,W,68,51,23,41,0.561,8,14,0.571,14,16,0.875,5,26,16,8,2,14,10,,23,56,0.411,2,16,0.125,3,5,0.6,13,25,7,8,1,14,18
18,1/18/2018,@,Georgia Tech,W,64,48,27,58,0.466,3,13,0.231,7,9,0.778,10,27,10,10,4,7,12,,17,42,0.405,5,11,0.455,9,14,0.643,7,28,11,5,7,18,9
19,1/21/2018,@,Wake Forest,W,59,49,21,52,0.404,7,17,0.412,10,10,1,7,30,12,7,6,7,11,,17,46,0.37,4,13,0.308,11,14,0.786,6,28,9,3,4,12,15
20,1/23/2018,,Clemson,W,61,36,25,56,0.446,7,19,0.368,4,8,0.5,6,31,9,14,7,11,10,,15,47,0.319,3,20,0.15,3,4,0.75,5,25,6,5,6,19,10
21,1/27/2018,@,Duke,W,65,63,26,66,0.394,6,22,0.273,7,9,0.778,7,27,12,8,3,5,18,,27,56,0.482,4,15,0.267,5,11,0.455,10,42,15,2,5,16,14
22,1/31/2018,,Louisville,W,74,64,29,54,0.537,9,16,0.563,7,9,0.778,5,22,13,6,0,7,9,,25,50,0.5,8,18,0.444,6,6,1,5,24,11,2,1,11,11
23,2/3/2018,@,Syracuse,W,59,44,23,47,0.489,7,23,0.304,6,8,0.75,4,29,19,4,4,9,12,,17,51,0.333,4,21,0.19,6,9,0.667,5,23,6,3,4,6,11
24,2/7/2018,@,Florida State,W,59,55,22,55,0.4,7,17,0.412,8,10,0.8,6,24,8,4,1,6,18,,18,45,0.4,6,20,0.3,13,19,0.684,6,28,11,0,2,11,15
25,2/10/2018,,Virginia Tech,L (1 OT),60,61,21,61,0.344,11,38,0.289,7,9,0.778,8,34,14,6,2,4,11,,22,51,0.431,11,29,0.379,6,8,0.75,5,30,14,4,1,10,12
26,2/13/2018,@,Miami (FL),W,59,50,22,48,0.458,6,17,0.353,9,12,0.75,5,25,15,5,2,10,15,,18,47,0.383,6,21,0.286,8,11,0.727,4,20,6,5,3,10,13
27,2/21/2018,,Georgia Tech,W,65,54,23,48,0.479,7,14,0.5,12,18,0.667,8,29,12,5,4,5,12,,22,51,0.431,4,13,0.308,6,8,0.75,7,25,11,5,3,6,16
28,2/24/2018,@,Pitt,W,66,37,25,49,0.51,8,16,0.5,8,11,0.727,7,36,15,3,7,7,10,,11,46,0.239,7,25,0.28,8,11,0.727,4,22,8,2,4,8,12
29,3/1/2018,@,Louisville,W,67,66,24,56,0.429,6,14,0.429,13,19,0.684,11,33,10,3,4,11,22,,19,46,0.413,6,15,0.4,22,29,0.759,4,26,7,3,2,8,18
30,3/3/2018,,Notre Dame,W,62,57,21,50,0.42,5,11,0.455,15,21,0.714,4,27,15,7,3,5,16,,19,53,0.358,7,24,0.292,12,17,0.706,9,37,10,3,2,7,17
31,3/8/2018,N,Louisville,W,75,58,31,59,0.525,7,18,0.389,6,7,0.857,7,29,13,5,2,7,13,,18,49,0.367,9,21,0.429,13,14,0.929,6,22,11,5,2,8,13
32,3/9/2018,N,Clemson,W,64,58,28,60,0.467,5,18,0.278,3,8,0.375,9,33,16,11,1,7,17,,17,49,0.347,5,25,0.2,19,23,0.826,5,26,8,5,2,13,16
33,3/10/2018,N,UNC,W,71,63,21,50,0.42,9,17,0.529,20,22,0.909,5,26,15,4,2,4,16,,20,49,0.408,10,25,0.4,13,17,0.765,8,29,15,2,1,8,18
34,3/16/2018,N,UMBC,L,54,74,23,56,0.411,4,22,0.182,4,8,0.5,5,21,5,8,1,7,16,,26,48,0.542,12,24,0.5,10,14,0.714,3,31,16,2,0,10,13
