"","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type"
"284","-78.484062","38.02649","2020-02-26","Basketball","Virginia Tech","TRUE","TRUE","Assault Simple"
"285","-78.475702","38.052489","2020-02-26","Basketball","Virginia Tech","TRUE","TRUE","Drug/Narcotics Violation"
"286","-78.460746","38.025787","2020-02-26","Basketball","Virginia Tech","TRUE","TRUE","Suspicious Activity"
"287","-78.503703","38.014946","2020-02-26","Basketball","Virginia Tech","TRUE","TRUE","Assist Agency - Backup/Assist"
"288","-78.481638","38.027754","2020-02-26","Basketball","Virginia Tech","TRUE","TRUE","Domestic Disturbance"
"289","-78.481638","38.027754","2020-02-26","Basketball","Virginia Tech","TRUE","TRUE","Larceny - From Motor Vehicle"
"290","-78.478076","38.022563","2020-02-26","Basketball","Virginia Tech","TRUE","TRUE","Larceny - From Motor Vehicle"
"334","-78.485528","38.029765","2020-02-22","Basketball","Pitt","TRUE","TRUE","Assault Simple"
"335","-78.502401","38.036242","2020-02-22","Basketball","Pitt","TRUE","TRUE","Vandalism"
"336","-78.513221","38.018706","2020-02-22","Basketball","Pitt","TRUE","TRUE","Assault Simple"
"337","-78.485528","38.029765","2020-02-22","Basketball","Pitt","TRUE","TRUE","Assist Citizen - Mental/TDO/ECO"
"338","-78.486581","38.030473","2020-02-22","Basketball","Pitt","TRUE","TRUE","Assist Citizen - Mental/TDO/ECO"
"339","-78.48045","38.026588","2020-02-22","Basketball","Pitt","TRUE","TRUE","Larceny - From Motor Vehicle"
"340","-78.462871","38.038224","2020-02-22","Basketball","Pitt","TRUE","TRUE","Fraud-false pretense"
"341","-78.485528","38.029765","2020-02-22","Basketball","Pitt","TRUE","TRUE","Extortion/Blackmail"
"342","-78.481848","38.030482","2020-02-22","Basketball","Pitt","TRUE","TRUE","Assault Simple"
"343","-78.497323","38.035783","2020-02-22","Basketball","Pitt","TRUE","TRUE","Drunkeness DIP"
"365","-78.514475","38.02842","2020-02-19","Basketball","Boston College","FALSE","TRUE","Larceny - All Other"
"366","-78.490814","38.031848","2020-02-19","Basketball","Boston College","FALSE","TRUE","Sex Offense - Forcible Rape"
"367","-78.475337","38.03394","2020-02-19","Basketball","Boston College","FALSE","TRUE","Runaway"
"368","-78.505016","38.030818","2020-02-19","Basketball","Boston College","FALSE","TRUE","Assault Simple"
"369","-78.455313","38.02387","2020-02-19","Basketball","Boston College","FALSE","TRUE","Larceny - Of Veh Parts/Access"
"370","-78.50005","38.014495","2020-02-19","Basketball","Boston College","FALSE","TRUE","Larceny - Of Veh Parts/Access"
"371","-78.472854","38.024483","2020-02-19","Basketball","Boston College","FALSE","TRUE","Larceny - From Motor Vehicle"
"372","-78.512573","38.020411","2020-02-19","Basketball","Boston College","FALSE","TRUE","Vandalism"
"373","-78.490814","38.031848","2020-02-19","Basketball","Boston College","FALSE","TRUE","Animal - Bite"
"405","-78.485672","38.022908","2020-02-15","Basketball","UNC","TRUE","TRUE","Narcotics"
"406","-78.491258","38.022211","2020-02-15","Basketball","UNC","TRUE","TRUE","Assault Simple"
"407","-78.491258","38.022211","2020-02-15","Basketball","UNC","TRUE","TRUE","Lost/FoundProperty"
"408","-78.473137","38.023547","2020-02-15","Basketball","UNC","TRUE","TRUE","Assist Citizen - Mental/TDO/ECO"
"409","-78.491948","38.022987","2020-02-15","Basketball","UNC","TRUE","TRUE","Assist Citizen - Mental/TDO/ECO"
