"","Latitude","Longitude"
"1",38.02629,-78.491051
"2",38.033404,-78.49779
"3",38.030391,-78.480746
"4",38.049485,-78.506608
"5",38.033559,-78.490241
"6",38.025451,-78.495668
"7",38.019358,-78.472299
"8",38.030267,-78.477549
"9",38.028559,-78.47318
"10",38.020107,-78.485793
"11",38.015926,-78.481467
"12",38.051498,-78.5002
"13",38.026588,-78.48045
"14",38.032895,-78.467148
"15",38.037224,-78.497384
"16",38.037805,-78.497624
"17",38.031848,-78.490814
"18",38.030748,-78.482695
"19",38.031294,-78.484883
"20",38.052489,-78.475702
"21",38.034794,-78.498909
"22",38.039226,-78.483145
"23",38.042471,-78.511905
"24",38.031848,-78.490814
"25",38.048623,-78.503011
"26",38.036242,-78.502401
"27",38.027754,-78.481638
"28",38.032645,-78.496684
"29",38.030035,-78.494688
"30",38.022563,-78.478076
"31",38.035177,-78.493817
"32",38.026588,-78.48045
"33",38.018999,-78.483432
"34",38.028394,-78.4925
"35",38.018768,-78.472205
"36",38.052715,-78.499043
"37",38.026588,-78.48045
"38",38.065057,-78.48225
"39",38.024646,-78.494399
"40",38.031848,-78.490814
"41",38.029594,-78.463905
"42",38.014946,-78.503703
"43",38.065057,-78.48225
"44",38.024646,-78.494399
"45",38.027807,-78.491575
"46",38.057743,-78.491336
"47",38.026037,-78.488967
"48",38.026588,-78.48045
"49",38.025784,-78.518964
"50",38.029745,-78.495466
"51",38.030267,-78.477549
"52",38.023408,-78.471574
"53",38.036158,-78.499392
"54",38.027592,-78.474548
"55",38.030837,-78.492632
"56",38.038053,-78.498689
"57",38.030267,-78.477549
"58",38.029803,-78.479272
"59",38.033559,-78.490241
"60",38.025704,-78.462858
"61",38.057743,-78.491336
"62",38.017903,-78.48365
"63",38.039647,-78.501654
"64",38.042362,-78.456287
"65",38.038498,-78.465847
"66",38.030391,-78.480746
"67",38.029122,-78.481417
"68",38.01976,-78.507945
"69",38.033038,-78.472368
"70",38.031371,-78.495468
"71",38.024268,-78.514442
"72",38.03427,-78.478722
"73",38.034639,-78.500517
"74",38.026076,-78.515987
"75",38.02393,-78.487254
"76",38.03079,-78.475436
"77",38.022736,-78.473958
"78",38.034794,-78.498909
"79",38.064994,-78.486363
"80",38.033917,-78.489305
"81",38.031848,-78.490814
"82",38.034122,-78.499326
"83",38.021191,-78.487098
"84",38.026588,-78.48045
"85",38.027754,-78.481638
"86",38.052849,-78.48642
"87",38.047832,-78.504303
"88",38.033259,-78.490241
"89",38.018683,-78.484921
"90",38.030267,-78.477549
"91",38.041436,-78.499349
"92",38.026214,-78.467407
"93",38.022908,-78.485672
"94",38.02215,-78.483797
"95",38.030788,-78.487892
"96",38.026722,-78.497519
"97",38.023796,-78.49979
"98",38.030045,-78.479255
"99",38.035319,-78.4627
"100",38.018706,-78.513221
"101",38.038632,-78.456902
"102",38.030691,-78.480746
"103",38.031193,-78.482244
"104",38.026588,-78.48045
"105",38.048623,-78.503011
"106",38.04873,-78.492093
"107",38.030267,-78.477549
"108",38.03523,-78.493175
"109",38.019593,-78.486204
"110",38.061269,-78.497998
"111",38.017745,-78.46969
"112",38.039578,-78.494309
"113",38.036344,-78.507351
"114",38.060894,-78.49691
"115",38.026538,-78.462371
"116",38.019814,-78.486029
"117",38.030788,-78.487892
"118",38.051498,-78.5002
"119",38.027754,-78.481638
"120",38.04881,-78.494808
"121",38.030267,-78.477549
"122",38.028832,-78.495257
"123",38.021337,-78.472547
"124",38.026588,-78.48045
"125",38.014946,-78.503703
"126",38.033559,-78.490241
"127",38.052849,-78.48642
"128",38.022736,-78.473958
"129",38.030966,-78.488496
"130",38.022987,-78.491948
"131",38.030203,-78.491156
"132",38.060222,-78.490328
"133",38.022122,-78.482964
"134",38.026861,-78.501611
"135",38.026355,-78.479577
"136",38.02078,-78.510129
"137",38.023547,-78.473137
"138",38.019591,-78.478223
"139",38.033951,-78.49996
"140",38.052819,-78.498406
"141",38.021191,-78.487098
"142",38.026588,-78.48045
"143",38.026588,-78.48045
"144",38.033951,-78.49996
"145",38.033951,-78.49996
"146",38.060855,-78.492224
"147",38.033951,-78.49996
"148",38.030391,-78.480746
"149",38.033559,-78.490241
"150",38.026538,-78.462371
"151",38.065057,-78.48225
"152",38.019593,-78.486204
"153",38.020478,-78.467982
"154",38.023622,-78.506549
"155",38.051498,-78.5002
"156",38.029803,-78.479272
"157",38.005309,-78.494102
"158",38.038928,-78.467584
"159",38.026588,-78.48045
"160",38.015367,-78.514855
"161",38.02695,-78.515096
"162",38.039875,-78.493575
"163",38.033559,-78.490241
"164",38.031848,-78.490814
"165",38.021466,-78.456341
"166",38.030203,-78.491156
"167",38.038739,-78.462244
"168",38.034988,-78.500296
"169",38.026861,-78.501611
"170",38.030195,-78.477633
"171",38.033001,-78.495935
"172",38.033559,-78.490241
"173",38.016724,-78.516252
"174",38.040289,-78.462727
"175",38.022084,-78.469217
"176",38.06198,-78.494142
"177",38.027754,-78.481638
"178",38.031716,-78.50267
"179",38.014345,-78.50005
"180",38.030267,-78.477549
"181",38.031848,-78.490814
"182",38.033559,-78.490241
"183",38.051498,-78.5002
"184",38.030267,-78.477549
"185",38.020609,-78.471104
"186",38.030267,-78.477549
"187",38.065057,-78.48225
"188",38.018683,-78.484921
"189",38.026588,-78.48045
"190",38.033559,-78.490241
"191",38.024268,-78.514442
"192",38.024646,-78.494399
"193",38.033559,-78.490241
"194",38.022084,-78.469217
"195",38.030174,-78.490192
"196",38.021466,-78.456341
"197",38.029765,-78.485528
"198",38.057817,-78.493732
"199",38.03575,-78.484068
