Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"300 250 BYPASS, Charlottesville, VA",38.026588,-78.48045,0.33,place,,,,,Charlottesville,VA,"Charlottesville city",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"300 VALLEY RD EXT, Charlottesville, VA",37.798844,-78.49535,0.3,rooftop,300,"Valley St",,,Scottsville,VA,"Albemarle County",24590,US,"Virginia Geographic Information Network (VGIN)"
"2200 BARRACKS RD, Charlottesville, VA",38.055725,-78.503683,0.72,nearest_rooftop_match,2150,"Barracks Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"1700 UNIVERSITY AVE, Charlottesville, VA",38.035796,-78.502112,0.82,nearest_rooftop_match,1702,"University Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"2300 GREENBRIER DR, Charlottesville, VA",38.065598,-78.468957,1,range_interpolation,2300,"Greenbrier Dr",,,Charlottesville,VA,"Albemarle County",22901,US,"TIGER/Line® dataset from the US Census Bureau"
"500 VALLEY RD, Charlottesville, VA",38.030818,-78.505016,1,rooftop,500,"Valley Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1300 WERTLAND ST, Charlottesville, VA",38.034284,-78.498138,1,rooftop,1300,"Wertland St",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1500 UNIVERSITY AVE, Charlottesville, VA",38.034988,-78.500296,0.72,nearest_rooftop_match,1501,"University Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"100 E MAIN ST, Charlottesville, VA",38.030363,-78.481565,1,rooftop,100,"E Main St",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"2200 STADIUM RD, Charlottesville, VA",38.028381,-78.517437,0.72,nearest_rooftop_match,2201,"Stadium Rd",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"100 14TH ST NW, Charlottesville, VA",38.034122,-78.499326,1,rooftop,100,"14th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"2300 ANGUS RD, Charlottesville, VA",38.061269,-78.497998,1,rooftop,2300,"Angus Rd",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"1100 5TH ST SW, Charlottesville, VA",38.014495,-78.50005,1,range_interpolation,1100,"5th St SW",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"500 12TH ST NW, Charlottesville, VA",38.038558,-78.494435,1,rooftop,500,"12th St NW",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"400 VALLEY RD EXT, Charlottesville, VA",38.02663,-78.504105,1,rooftop,400,"Valley Rd Ext",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"100 ELLIEWOOD AVE, Charlottesville, VA",38.03573,-78.500873,1,rooftop,100,"Elliewood Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"1100 EMMET ST N, Charlottesville, VA",38.051498,-78.5002,1,range_interpolation,1100,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"200 E WATER ST, Charlottesville, VA",38.02935,-78.480554,1,rooftop,200,"E Water St",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"800 ANDERSON ST, Charlottesville, VA",38.034792,-78.489968,1,rooftop,800,"Anderson St",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"800 HARDY DR, Charlottesville, VA",38.033559,-78.490241,1,range_interpolation,800,"Hardy Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"900 PRESTON AVE, Charlottesville, VA",38.037013,-78.489636,1,rooftop,900,"Preston Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"800 RIDGE ST, Charlottesville, VA",38.022211,-78.491258,1,rooftop,800,"Ridge St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1400 SUNRISE PARK LN, Charlottesville, VA",38.020972,-78.467448,0.81,nearest_rooftop_match,1404,"Sunrise Park Ln",,,Charlottesville,VA,"Albemarle County",22902,US,"Virginia Geographic Information Network (VGIN)"
"600 PRESTON AVE, Charlottesville, VA",38.034938,-78.486011,1,rooftop,600,"Preston Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"700 6TH ST SE, Charlottesville, VA",38.025291,-78.480685,1,range_interpolation,700,"6th St SE",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"1400 EMMET ST, Charlottesville, VA",38.055785,-78.496363,0.9,range_interpolation,1400,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1300 CHESAPEAKE ST, Charlottesville, VA",38.027226,-78.466625,1,rooftop,1300,"Chesapeake St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1300 CARLTON AVE, Charlottesville, VA",38.022084,-78.469217,1,rooftop,1300,"Carlton Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"500 W MAIN ST, Charlottesville, VA",38.030788,-78.487892,1,rooftop,500,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
