"","Date","Opponent","Won","Away"
"119",2019-01-09,"Boston College",TRUE,TRUE
"120",2019-01-12,"Clemson",TRUE,TRUE
"121",2019-01-15,"Virginia Tech",TRUE,FALSE
"122",2019-01-19,"Duke",FALSE,TRUE
"123",2019-01-22,"Wake Forest",TRUE,FALSE
"124",2019-01-26,"Notre Dame",TRUE,TRUE
"125",2019-01-29,"NC State",TRUE,TRUE
"126",2019-02-02,"Miami (FL)",TRUE,FALSE
"127",2019-02-09,"Duke",FALSE,FALSE
"128",2019-02-11,"UNC",TRUE,TRUE
"129",2019-02-16,"Notre Dame",TRUE,FALSE
"130",2019-02-18,"Virginia Tech",TRUE,TRUE
"131",2019-02-23,"Louisville",TRUE,TRUE
"132",2019-02-27,"Georgia Tech",TRUE,FALSE
"133",2019-03-02,"Pitt",TRUE,FALSE
"134",2019-03-04,"Syracuse",TRUE,TRUE
"135",2019-03-09,"Louisville",TRUE,FALSE
"136",2019-03-14,"NC State",TRUE,FALSE
"137",2019-03-15,"Florida State",FALSE,FALSE
"138",2019-03-22,"Gardner-Webb",TRUE,FALSE
"139",2019-03-24,"Oklahoma",TRUE,FALSE
"140",2019-03-28,"Oregon",TRUE,FALSE
"141",2019-03-30,"Purdue",TRUE,FALSE
"142",2019-04-06,"Auburn",TRUE,FALSE
"143",2019-04-08,"Texas Tech",TRUE,FALSE
"144",2019-11-06,"Syracuse",TRUE,TRUE
"145",2019-11-10,"James Madison",TRUE,FALSE
"146",2019-11-16,"Columbia",TRUE,FALSE
"147",2019-11-19,"Vermont",TRUE,FALSE
"148",2019-11-23,"UMass",TRUE,FALSE
"149",2019-11-24,"Arizona State",TRUE,FALSE
"150",2019-11-27,"Maine",TRUE,FALSE
"151",2019-12-04,"Purdue",FALSE,TRUE
"152",2019-12-08,"UNC",TRUE,FALSE
"153",2019-12-18,"Stony Brook",TRUE,FALSE
"154",2019-12-22,"South Carolina",FALSE,FALSE
"155",2019-12-29,"Navy",TRUE,FALSE
"156",2020-01-04,"Virginia Tech",TRUE,FALSE
"157",2020-01-07,"Boston College",FALSE,TRUE
"158",2020-01-11,"Syracuse",FALSE,FALSE
"159",2020-01-15,"Florida State",FALSE,TRUE
"160",2020-01-18,"Georgia Tech",TRUE,TRUE
"161",2020-01-20,"NC State",FALSE,FALSE
"162",2020-01-26,"Wake Forest",TRUE,TRUE
"163",2020-01-28,"Florida State",TRUE,FALSE
"164",2020-02-05,"Clemson",TRUE,FALSE
"165",2020-02-08,"Louisville",FALSE,TRUE
"166",2020-02-11,"Notre Dame",TRUE,FALSE
"167",2020-02-15,"UNC",TRUE,TRUE
"168",2020-02-19,"Boston College",TRUE,FALSE
"169",2020-02-22,"Pitt",TRUE,TRUE
"170",2020-02-26,"Virginia Tech",TRUE,TRUE
"171",2020-02-29,"Duke",TRUE,FALSE
"172",2020-03-04,"Miami (FL)",TRUE,TRUE
"173",2020-03-07,"Louisville",TRUE,FALSE
